	seqid	start	end	strand	length	motherlength	neighbor_gene	flag	distance	correlation	transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand
head28177	SM_V7_1	58384599	58384699	+	100	3190	Smp_247030	olap	0.0		0.0	0.0	58339556.0	58416918.0	-	77362	1.4304926633357846	False
head28185	SM_V7_1	58447761	58447861	+	100	535	Smp_247030	esq	30843.0		1.090460987171791	0.0	58339556.0	58416918.0	-	77362	1.4304926633357846	False
head28187	SM_V7_1	58450510	58450610	-	100	766	Smp_247030	esq	33592.0		1.4654803353872734	0.0	58339556.0	58416918.0	-	77362	1.4304926633357846	True
head28192	SM_V7_1	58470434	58470534	+	100	171	Smp_213850	dir	25282.0		0.0	0.0	58495816.0	58505258.0	-	9442	35.74660559688971	False
head28194	SM_V7_ZW	58479313	58479413	-	100	1159	Smp_306200	olap	0.0		0.0	0.0	58438382.0	58486612.0	-	48230	2.5298591861472777	True
head28207	SM_V7_ZW	58599947	58600047	+	100	2959	Smp_198980	esq	30329.0		3.7547714388153177	0.0	58540139.0	58569618.0	+	29479	39.68746890381231	True
head2821	SM_V7_4	1790919	1791019	-	100	470	Smp_086910	dir	9198.0		0.0	0.0	1800217.0	1802651.0	+	2434	29.69835863205107	False
head28220	SM_V7_ZW	58640295	58640395	-	100	2584	Smp_204860	esq	7578.0	0.391061259586	2.035747178071772	0.0	58632541.0	58632717.0	-	176	278.2047923854546	True
head28228	SM_V7_ZW	58672780	58672880	+	100	2998	Smp_020550	olap	0.0	0.779493394447	16.04361637767384	0.0	58668124.0	58735655.0	-	67531	8.509494277103306	False
head2823	SM_V7_ZW	1801547	1801647	+	100	174	Smp_048560	esq	427.0	0.19175326402399998	3.558807403363988	0.0	1776104.0	1801120.0	+	25016	29.157250881740993	True
head28238	SM_V7_1	58738650	58738750	-	100	911	Smp_083120	olap	0.0	0.563600936215	16.28559652549972	0.0	58729952.0	58740865.0	+	10913	10.94616911058779	False
head28240	SM_V7_ZW	58760821	58760921	+	100	1160	Smp_020540	dir	3718.0		0.0	0.0	58764639.0	58791173.0	+	26534	1.180401002247872	True
head28247	SM_V7_ZW	58785870	58785970	-	100	1424	Smp_020540	olap	0.0		2.5694828305551334	0.0	58764639.0	58791173.0	+	26534	1.180401002247872	False
head28254	SM_V7_1	58816626	58816726	+	100	973	Smp_345710	olap	0.0	0.7839875354029999	5.250909815112578	1.0	58812193.0	58831831.0	-	19638	17.40443992997754	False
head28256	SM_V7_ZW	58838106	58838206	-	100	239	Smp_323700	olap	0.0		0.0	0.0	58829548.0	58840885.0	-	11337	0.5684634283945792	True
head28258	SM_V7_1	58841625	58841725	+	100	2819	Smp_083080	dir	8580.0		0.5793352394621382	1.0	58850305.0	58862638.0	+	12333	47.27965429020858	True
head28260	SM_V7_ZW	58846261	58846361	-	100	1255	Smp_323700	esq	5376.0		1.8647621664070824	0.0	58829548.0	58840885.0	-	11337	0.5684634283945792	True
head28265	SM_V7_ZW	58890814	58890914	+	100	355	Smp_133310	esq	4827.0		4.546787897800788	0.0	58880959.0	58885987.0	+	5028	164.692763730501	True
head28266	SM_V7_ZW	58909719	58909819	+	100	816	Smp_133310	esq	23732.0		2.7845196966100465	1.0	58880959.0	58885987.0	+	5028	164.692763730501	True
head2827	SM_V7_5	1803351	1803451	-	100	695	Smp_201330	esq	123905.0		0.0	0.0	1672434.0	1679446.0	-	7012	2.2956795913468198	True
head28271	SM_V7_ZW	58915999	58916099	-	100	275	Smp_133310	esq	30012.0		1.1493205274507736	0.0	58880959.0	58885987.0	+	5028	164.692763730501	False
head28282	SM_V7_1	58988124	58988224	+	100	496	Smp_167190	olap	0.0		0.3068098564629972	0.0	58894685.0	59004490.0	+	109805	0.5844085824223526	True
head28284	SM_V7_1	59000552	59000652	+	100	806	Smp_167190	olap	0.0	0.341655295354	5.448934738159293	0.0	58894685.0	59004490.0	+	109805	0.5844085824223526	True
head28289	SM_V7_1	59016401	59016501	+	100	2286	Smp_083040	dir	9006.0		1.7383651735616414	0.0	59025507.0	59055062.0	-	29555	65.50422312799297	False
head28299	SM_V7_ZW	59117213	59117313	-	100	822	Smp_333180	olap	0.0		0.0	0.0	59095466.0	59122655.0	+	27189	0.08684228510112688	False
head28323	SM_V7_ZW	59261880	59261980	-	100	3189	Smp_054330	olap	0.0	0.0514014012904	5.635996051793065	0.0	59260446.0	59267092.0	-	6646	5.149442986523843	True
head28329	SM_V7_ZW	59305904	59306004	+	100	975	Smp_054350	dir	2842.0		0.8172635649866228	0.0	59308846.0	59312182.0	+	3336	41.69033226231047	True
head2833	SM_V7_6	1810415	1810515	+	100	467	Smp_331190	olap	0.0		0.3068098564629972	0.0	1806245.0	1820078.0	-	13833	0.4160978389297522	False
head28330	SM_V7_1	59309825	59309925	-	100	491	Smp_098760	esq	3153.0		0.0	0.0	59277786.0	59306672.0	+	28886	33.27417412847127	False
head28331	SM_V7_1	59312842	59312942	-	100	3105	Smp_098760	esq	6170.0		2.6833698097657592	0.0	59277786.0	59306672.0	+	28886	33.27417412847127	False
head28334	SM_V7_ZW	59345759	59345859	-	100	250	Smp_194800	dir	12399.0		0.0	0.0	59358258.0	59456292.0	-	98034	2.227597360027313	True
head28340	SM_V7_ZW	59362924	59363024	+	100	589	Smp_194800	olap	0.0		0.4086317824933114	0.0	59358258.0	59456292.0	-	98034	2.227597360027313	False
head28346	SM_V7_ZW	59442992	59443092	+	100	222	Smp_194800	olap	0.0		1.2847414152775667	0.0	59358258.0	59456292.0	-	98034	2.227597360027313	False
head28347	SM_V7_ZW	59443782	59443882	+	100	312	Smp_194800	olap	0.0		0.0	0.0	59358258.0	59456292.0	-	98034	2.227597360027313	False
head28364	SM_V7_1	59513296	59513396	+	100	556	Smp_337300	esq	31389.0		0.0	0.0	59468157.0	59481907.0	+	13750	0.478726586156651	True
head28366	SM_V7_ZW	59520486	59520586	+	100	1204	Smp_344370	olap	0.0		1.7717093978567853	0.0	59512752.0	59525731.0	+	12979	2.734394069493309	True
head28368	SM_V7_1	59528539	59528639	-	100	289	Smp_176390	dir	45648.0		0.5438891780113111	0.0	59574287.0	59654070.0	+	79783	0.7928903547153497	False
head28369	SM_V7_ZW	59534043	59534143	-	100	2065	Smp_323740	dir	4132.0		0.9204295693889916	0.0	59538275.0	59544848.0	-	6573	2.737805942445819	True
head28373	SM_V7_ZW	59561196	59561296	-	100	535	Smp_054360	olap	0.0		0.6136197129259944	0.0	59551834.0	59564818.0	-	12984	15.12785575027547	True
head28375	SM_V7_ZW	59589026	59589126	-	100	719	Smp_151260	esq	5365.0		0.2043158912466557	0.0	59581822.0	59583661.0	+	1839	0.0698608708688182	False
head28378	SM_V7_ZW	59600482	59600582	-	100	719	Smp_151260	esq	16821.0		0.5438891780113111	0.0	59581822.0	59583661.0	+	1839	0.0698608708688182	False
head28380	SM_V7_1	59613922	59614022	+	100	799	Smp_176390	olap	0.0		1.1493205274507736	0.0	59574287.0	59654070.0	+	79783	0.7928903547153497	True
head28389	SM_V7_ZW	59719869	59719969	-	100	1654	Smp_151280	dir	12399.0		2.2986410549015472	1.0	59732368.0	59786628.0	-	54260	4.950466465087995	True
head28392	SM_V7_ZW	59746628	59746728	-	100	1238	Smp_151280	olap	0.0		0.8158337670169666	0.0	59732368.0	59786628.0	-	54260	4.950466465087995	True
head28393	SM_V7_1	59751197	59751297	-	100	227	Smp_337850	esq	17766.0		0.0	0.0	59699307.0	59733431.0	+	34124	5.994726854601578	False
head28406	SM_V7_1	59814154	59814254	-	100	1087	Smp_332540	olap	0.0	0.909517841259	13.892022236123651	0.0	59773787.0	59857735.0	+	83948	0.9614983475141259	False
head28407	SM_V7_1	59823500	59823600	-	100	305	Smp_332540	olap	0.0		0.0	0.0	59773787.0	59857735.0	+	83948	0.9614983475141259	False
head28408	SM_V7_ZW	59825813	59825913	-	100	271	Smp_244360	olap	0.0	0.8840779568160001	10.411207708392466	0.0	59822962.0	59878276.0	+	55314	1.53924763139761	False
head28416	SM_V7_ZW	59897123	59897223	+	100	3183	Smp_212730	olap	0.0	0.679497707581	4.877596982863866	0.0	59887869.0	59950893.0	-	63024	4.82079294698213	False
head28417	SM_V7_1	59916845	59916945	+	100	76	Smp_201060	olap	0.0		1.7028278669182726	0.0	59916231.0	59917197.0	-	966	161.58210840337838	False
head28422	SM_V7_ZW	59942183	59942283	+	100	207	Smp_212730	olap	0.0		6.047824090572341	0.0	59887869.0	59950893.0	-	63024	4.82079294698213	False
head28427	SM_V7_ZW	60002412	60002512	+	100	996	Smp_151310	olap	0.0		0.5787544454686527	0.0	59975216.0	60041210.0	+	65994	1.200404921244564	True
head28432	SM_V7_1	60050109	60050209	-	100	214	Smp_071150	olap	0.0		0.0	0.0	60039729.0	60086647.0	-	46918	13.924829604446497	True
head28434	SM_V7_ZW	60082063	60082163	+	100	829	Smp_054560	esq	10901.0		0.3068098564629972	0.0	60067583.0	60071162.0	-	3579	111.98893546131481	False
head28440	SM_V7_1	60123060	60123160	+	100	1522	Smp_071140	esq	7025.0		0.0	1.0	60098911.0	60116035.0	+	17124	57.51445858144701	True
head28445	SM_V7_ZW	60144837	60144937	+	100	902	Smp_173760	dir	9512.0		0.4086317824933114	0.0	60154449.0	60217564.0	+	63115	2.2356861067871874	True
head28449	SM_V7_ZW	60155092	60155192	-	100	476	Smp_173760	olap	0.0		0.0	0.0	60154449.0	60217564.0	+	63115	2.2356861067871874	False
head2845	SM_V7_ZW	1817026	1817126	+	100	404	Smp_048560	esq	15906.0		0.5111257477096529	0.0	1776104.0	1801120.0	+	25016	29.157250881740993	True
head28451	SM_V7_ZW	60166064	60166164	-	100	94	Smp_173760	olap	0.0		0.6136197129259944	0.0	60154449.0	60217564.0	+	63115	2.2356861067871874	False
head28457	SM_V7_1	60202399	60202499	-	100	199	Smp_160780	dir	62247.0		1.225895347479934	0.0	60264746.0	60322397.0	-	57651	6.142861641086809	True
head2846	SM_V7_1	1817572	1817672	+	100	424	Smp_180260	esq	2968.0		0.0	0.0	1793903.0	1814604.0	-	20701	0.054293578994157536	False
head28462	SM_V7_1	60214280	60214380	-	100	1221	Smp_160780	dir	50366.0		0.0	0.0	60264746.0	60322397.0	-	57651	6.142861641086809	True
head28464	SM_V7_ZW	60219165	60219265	-	100	308	Smp_173760	esq	1601.0		0.9491805641017805	0.0	60154449.0	60217564.0	+	63115	2.2356861067871874	False
head28465	SM_V7_1	60237900	60238000	+	100	889	Smp_160780	dir	26746.0		0.0	1.0	60264746.0	60322397.0	-	57651	6.142861641086809	False
head28467	SM_V7_1	60240124	60240224	+	100	410	Smp_160780	dir	24522.0		0.3068098564629972	0.0	60264746.0	60322397.0	-	57651	6.142861641086809	False
head28471	SM_V7_ZW	60265232	60265332	-	100	1309	Smp_173730	olap	0.0		2.5291606959154267	0.0	60244444.0	60272092.0	-	27648	12.958048222131387	True
head28474	SM_V7_ZW	60291143	60291243	-	100	853	Smp_094190	olap	0.0		4.494857884700532	0.0	60288596.0	60335905.0	+	47309	5.469533758082546	False
head2848	SM_V7_6	1818660	1818760	+	100	1036	Smp_331190	olap	0.0		0.0	0.0	1806245.0	1820078.0	-	13833	0.4160978389297522	False
head28486	SM_V7_ZW	60340726	60340826	-	100	674	Smp_203830	dir	3835.0		0.3068098564629972	0.0	60344661.0	60345782.0	-	1121	3.0903034531747178	True
head2849	SM_V7_ZW	1818171	1818271	-	100	417	Smp_048560	esq	17051.0		0.0	0.0	1776104.0	1801120.0	+	25016	29.157250881740993	False
head28494	SM_V7_1	60392813	60392913	+	100	299	Smp_160760	esq	8922.0		2.358432386567266	0.0	60351462.0	60383891.0	+	32429	33.38483660698254	True
head2851	SM_V7_3	1820036	1820136	+	100	293	Smp_159990	olap	0.0		1.1534964553484361	0.0	1806759.0	1947246.0	-	140487	3.018091670672342	False
head28519	SM_V7_1	60503783	60503883	+	100	1003	Smp_302090	esq	5785.0		0.2043158912466557	0.0	60449459.0	60497998.0	-	48539	4.789476503810878	False
head28520	SM_V7_1	60514582	60514682	+	100	1044	Smp_071050	dir	15006.0		1.456130383913771	0.0	60529688.0	60536598.0	-	6910	28.0820545246943	False
head28528	SM_V7_ZW	60553943	60554043	-	100	314	Smp_306230	olap	0.0	-0.0845046537288	29.63823353382869	0.0	60542553.0	60554037.0	+	11484	19.915062823783757	False
head28531	SM_V7_1	60578008	60578108	-	100	2349	Smp_160730	olap	0.0	0.258238424752	10.908866063586961	0.0	60567122.0	60583187.0	+	16065	15.93156993233483	False
head28534	SM_V7_ZW	60602681	60602781	+	100	204	Smp_037960	esq	2346.0		0.0	0.0	60584793.0	60600335.0	+	15542	9.869466874953087	True
head28539	SM_V7_ZW	60674573	60674673	+	100	488	Smp_142710	esq	4964.0		1.7280749729194265	0.0	60637130.0	60669609.0	-	32479	62.45849016191919	False
head28544	SM_V7_1	60701340	60701440	-	100	471	Smp_160710	esq	13633.0		2.351984886487636	1.0	60651962.0	60687707.0	+	35745	15.475310190903162	False
head28552	SM_V7_ZW	60774604	60774704	+	100	178	Smp_142740	olap	0.0		0.9197575302029642	0.0	60699654.0	60783239.0	-	83585	3.0053790423888804	False
head28568	SM_V7_1	60910599	60910699	+	100	223	Smp_337310	olap	0.0		0.0	0.0	60869745.0	60914284.0	-	44539	0.04454839086657804	False
head28581	SM_V7_ZW	61002209	61002309	-	100	160	Smp_244310	dir	14555.0		0.0	0.0	61016864.0	61097470.0	+	80606	2.428710343407605	False
head28586	SM_V7_ZW	61011459	61011559	+	100	229	Smp_244310	dir	5305.0		0.27194458900565555	0.0	61016864.0	61097470.0	+	80606	2.428710343407605	True
head2859	SM_V7_1	1828999	1829099	+	100	1039	Smp_311250	olap	0.0		0.0	5.0	1829088.0	1838520.0	+	9432	0.1986296483231524	True
head28592	SM_V7_1	61103461	61103561	-	100	996	Smp_165080	olap	0.0		0.5366544084066698	0.0	61100568.0	61108625.0	+	8057	7.602779540119001	False
head28601	SM_V7_ZW	61144222	61144322	+	100	226	Smp_168620	dir	89.0		0.2043158912466557	0.0	61144411.0	61166330.0	-	21919	0.550078464484627	False
head28605	SM_V7_ZW	61186046	61186146	+	100	421	Smp_168620	esq	19716.0		0.0	0.0	61144411.0	61166330.0	-	21919	0.550078464484627	False
head2861	SM_V7_4	1833023	1833123	+	100	1980	Smp_242680	dir	3503.0		1.92711212291635	0.0	1836626.0	1874513.0	+	37887	7.9155817163894735	True
head28620	SM_V7_ZW	61257708	61257808	+	100	448	Smp_168600	dir	18140.0		0.0	0.0	61275948.0	61325488.0	+	49540	1.306886179481344	True
head28622	SM_V7_ZW	61264475	61264575	+	100	908	Smp_168600	dir	11373.0		0.0	0.0	61275948.0	61325488.0	+	49540	1.306886179481344	True
head28631	SM_V7_ZW	61354954	61355054	+	100	223	Smp_244320	olap	0.0	-0.08628599006930002	5.8954728174469935	0.0	61350288.0	61374746.0	-	24458	3.6047643418713378	False
head2864	SM_V7_ZW	1831638	1831738	-	100	1150	Smp_048560	esq	30518.0		0.9204295693889916	0.0	1776104.0	1801120.0	+	25016	29.157250881740993	False
head28650	SM_V7_ZW	61502122	61502222	+	100	1607	Smp_341510	dir	1938.0		0.21076339132628552	0.0	61504160.0	61511834.0	-	7674	8.82835686723518	False
head28652	SM_V7_ZW	61526526	61526626	-	100	1603	Smp_171460	dir	3062.0		0.0	0.0	61529688.0	61547442.0	+	17754	1.2756239103687732	False
head28656	SM_V7_1	61553266	61553366	-	100	3186	Smp_054730	esq	1024.0		0.0	1.0	61547962.0	61552242.0	-	4280	30.172939256647886	True
head28671	SM_V7_ZW	61641376	61641476	-	100	3195	Smp_306270	esq	292.0		0.0	0.0	61549719.0	61641084.0	-	91365	2.0360476204055877	True
head28672	SM_V7_1	61671411	61671511	+	100	727	Smp_332560	dir	7798.0		0.0	0.0	61679309.0	61716762.0	+	37453	0.176507203052877	True
head28674	SM_V7_ZW	61681590	61681690	+	100	407	Smp_244340	dir	3558.0		0.0	0.0	61685248.0	61753125.0	+	67877	0.8666472281891653	True
head28676	SM_V7_1	61699431	61699531	+	100	2014	Smp_332560	olap	0.0		0.0	0.0	61679309.0	61716762.0	+	37453	0.176507203052877	True
head2868	SM_V7_5	1834647	1834747	+	100	167	Smp_201320	dir	120498.0		0.0	0.0	1955245.0	1955472.0	-	227	5.392089320899819	False
head2870	SM_V7_3	1835549	1835649	+	100	310	Smp_159990	olap	0.0		0.6193951738195969	0.0	1806759.0	1947246.0	-	140487	3.018091670672342	False
head28706	SM_V7_1	61898535	61898635	-	100	530	Smp_344380	olap	0.0		0.0	0.0	61891479.0	61909577.0	+	18098	2.3085097467890594	False
head28709	SM_V7_1	61921265	61921365	-	100	67	Smp_344380	esq	11688.0		0.0	1.0	61891479.0	61909577.0	+	18098	2.3085097467890594	False
head28718	SM_V7_1	61969641	61969741	-	100	197	Smp_151330	olap	0.0		0.0	0.0	61958933.0	61974959.0	+	16026	0.1355565202414353	False
head28739	SM_V7_1	62102694	62102794	+	100	516	Smp_170280	olap	0.0		0.0	0.0	62099356.0	62122388.0	+	23032	0.9217875993037483	True
head2874	SM_V7_6	1841356	1841456	+	100	1652	Smp_331200	dir	1216.0		0.0	0.0	1842672.0	1843830.0	+	1158	22.076080439894234	True
head28752	SM_V7_ZW	62182320	62182420	+	100	3011	Smp_060240	esq	17588.0		0.0		62154328.0	62164732.0	-	10404	4.927653905365642	False
head28753	SM_V7_1	62186680	62186780	+	100	3186	Smp_170290	olap	0.0		0.2043158912466557	0.0	62122686.0	62201572.0	-	78886	1.9177829765166743	False
head2876	SM_V7_ZW	1842036	1842136	-	100	131	Smp_048560	esq	40916.0		0.0	0.0	1776104.0	1801120.0	+	25016	29.157250881740993	False
head28769	SM_V7_1	62256093	62256193	-	100	391	Smp_213880	dir	3763.0		0.0	0.0	62259956.0	62291199.0	+	31243	29.006800092657027	False
head2878	SM_V7_6	1849211	1849311	+	100	237	Smp_174670	olap	0.0	0.344354845298	3.3388396000302176	0.0	1844743.0	1860098.0	-	15355	25.071747276941533	False
head28782	SM_V7_1	62315597	62315697	-	100	1300	Smp_327480	olap	0.0	-0.253162346046	13.359754709535979	0.0	62303969.0	62323642.0	+	19673	442.9169407551245	False
head28783	SM_V7_1	62324409	62324509	-	100	3189	Smp_327480	esq	767.0	0.265239148729	11.54547812463566	0.0	62303969.0	62323642.0	+	19673	442.9169407551245	False
head28784	SM_V7_1	62332556	62332656	+	100	547	Smp_170320	dir	1330.0		0.7474177997329553		62333986.0	62351774.0	+	17788	1.7435263855498184	True
head28790	SM_V7_ZW	62420289	62420389	-	100	90	Smp_346280	esq	1050.0		0.5787544454686527	0.0	62377570.0	62419239.0	-	41669	2.562058628119645	True
head28791	SM_V7_ZW	62434718	62434818	+	100	337	Smp_346280	esq	15479.0		0.2043158912466557	0.0	62377570.0	62419239.0	-	41669	2.562058628119645	False
head28795	SM_V7_1	62446789	62446889	-	100	367	Smp_213910	esq	17595.0		0.0	0.0	62381199.0	62429194.0	-	47995	19.02852775020802	True
head28798	SM_V7_1	62457632	62457732	+	100	72	Smp_170340	dir	23326.0		0.0	0.0	62481058.0	62522742.0	+	41684	13.11935244920771	True
head288	SM_V7_W011	7608	7708	-	100	647	Smp_308070	dir	51099.0		0.0	0.0	58807.0	62862.0	-	4055	0.0	True
head28809	SM_V7_ZW	62486057	62486157	-	100	1798	Smp_204230	dir	13639.0		0.0	0.0	62499796.0	62507949.0	-	8153	1.0405843773918264	True
head28817	SM_V7_ZW	62583451	62583551	+	100	3186	Smp_306320	dir	6833.0		1.1493205274507736	0.0	62590384.0	62591179.0	-	795	0.7977381653176889	False
head28818	SM_V7_1	62577908	62578008	-	100	3202	Smp_088550	olap	0.0	0.7762657107009999	86.54792283023498	0.0	62572076.0	62596684.0	-	24608	61.096898984329556	True
head28826	SM_V7_1	62689330	62689430	-	100	678	Smp_125870	olap	0.0		4.016733399300949	0.0	62669228.0	62720782.0	+	51554	21.536874427399056	False
head28829	SM_V7_1	62701583	62701683	-	100	1030	Smp_125870	olap	0.0		0.5793352394621382	0.0	62669228.0	62720782.0	+	51554	21.536874427399056	False
head28843	SM_V7_ZW	62754272	62754372	+	100	598	Smp_099030	esq	45875.0		0.0	0.0	62700422.0	62708397.0	+	7975	154.54508932353576	True
head28848	SM_V7_ZW	62767066	62767166	-	100	208	Smp_099030	esq	58669.0		0.0	0.0	62700422.0	62708397.0	+	7975	154.54508932353576	False
head28857	SM_V7_ZW	62799496	62799596	+	100	562	Smp_176540	dir	30763.0		0.3068098564629972	0.0	62830359.0	62887361.0	+	57002	4.610455828812535	True
head28866	SM_V7_ZW	62860971	62861071	-	100	88	Smp_176540	olap	0.0		0.0	0.0	62830359.0	62887361.0	+	57002	4.610455828812535	False
head28867	SM_V7_ZW	62863249	62863349	-	100	515	Smp_176540	olap	0.0		0.2043158912466557	0.0	62830359.0	62887361.0	+	57002	4.610455828812535	False
head28868	SM_V7_1	62875669	62875769	-	100	318	Smp_006860	dir	3941.0		1.2272394258519888	0.0	62879710.0	62905584.0	+	25874	74.6186095603081	False
head28874	SM_V7_ZW	62913765	62913865	-	100	447	Smp_346450	dir	21236.0		0.0	0.0	62935101.0	62946950.0	-	11849	12.230427708585736	True
head28886	SM_V7_1	63006648	63006748	-	100	944	Smp_196300	olap	0.0		0.8172635649866228	0.0	62934771.0	63058216.0	-	123445	1.3390241937674823	True
head2889	SM_V7_7	1855591	1855691	-	100	282	Smp_202200	esq	5772.0		0.9204295693889916	0.0	1849379.0	1849819.0	-	440	4.093906329832004	True
head28891	SM_V7_1	63044331	63044431	+	100	545	Smp_196300	olap	0.0		0.0	0.0	62934771.0	63058216.0	-	123445	1.3390241937674823	False
head28904	SM_V7_1	63170893	63170993	-	100	215	Smp_169380	esq	18065.0		0.0	0.0	63100600.0	63152828.0	+	52228	0.23398174106102354	False
head2891	SM_V7_1	1866156	1866256	+	100	218	Smp_311250	esq	27636.0		0.0	8.0	1829088.0	1838520.0	+	9432	0.1986296483231524	True
head28912	SM_V7_1	63201119	63201219	-	100	285	Smp_086830	dir	33083.0		0.0	0.0	63234302.0	63239556.0	-	5254	23.554399499497883	True
head28918	SM_V7_ZW	63214034	63214134	+	100	560	Smp_341400	esq	10649.0		0.0	0.0	63190101.0	63203385.0	-	13284	34.74300021160995	False
head28923	SM_V7_ZW	63243964	63244064	-	100	958	Smp_168140	dir	1353.0	-0.215359718179	10.25405200491374	0.0	63245417.0	63254353.0	-	8936	3.5657197747557574	True
head28936	SM_V7_1	63365544	63365644	+	100	90	Smp_169360	olap	0.0		0.3068098564629972	0.0	63275653.0	63399010.0	-	123357	2.11163117119413	False
head28940	SM_V7_ZW	63387729	63387829	+	100	219	Smp_096640	olap	0.0	0.519918758788	13.156470309585227	0.0	63374918.0	63397913.0	-	22995	23.476368003468544	False
head28941	SM_V7_1	63411315	63411415	+	100	238	Smp_169350	olap	0.0		2.4524627341458953	0.0	63383696.0	63424886.0	-	41190	0.20853942016742483	False
head28942	SM_V7_1	63416298	63416398	+	100	288	Smp_169350	olap	0.0		1.329061351882303	0.0	63383696.0	63424886.0	-	41190	0.20853942016742483	False
head28943	SM_V7_1	63421124	63421224	+	100	117	Smp_169350	olap	0.0		0.2043158912466557	0.0	63383696.0	63424886.0	-	41190	0.20853942016742483	False
head28944	SM_V7_1	63430783	63430883	+	100	3190	Smp_169350	esq	5897.0	0.052585194353099995	8.704628539252097	0.0	63383696.0	63424886.0	-	41190	0.20853942016742483	False
head28945	SM_V7_1	63438794	63438894	+	100	358	Smp_169350	esq	13908.0		0.0	0.0	63383696.0	63424886.0	-	41190	0.20853942016742483	False
head28956	SM_V7_1	63475565	63475665	-	100	276	Smp_302170	dir	40975.0		0.9197575302029642	0.0	63516640.0	63519290.0	-	2650	1473.8430766749632	True
head28959	SM_V7_1	63478353	63478453	+	100	516	Smp_302170	dir	38187.0		0.0	0.0	63516640.0	63519290.0	-	2650	1473.8430766749632	False
head28961	SM_V7_1	63483072	63483172	-	100	3191	Smp_302170	dir	33468.0		0.0	0.0	63516640.0	63519290.0	-	2650	1473.8430766749632	True
head28975	SM_V7_ZW	63595863	63595963	-	100	646	Smp_194610	esq	12701.0		2.2474748037132124	0.0	63537147.0	63583162.0	+	46015	7.6103258084672545	False
head28976	SM_V7_ZW	63597792	63597892	-	100	720	Smp_267110	dir	13928.0		0.0	0.0	63611820.0	63639593.0	-	27773	8.63490686111844	True
head28979	SM_V7_ZW	63628832	63628932	-	100	1745	Smp_267110	olap	0.0		0.0	0.0	63611820.0	63639593.0	-	27773	8.63490686111844	True
head28986	SM_V7_1	63711420	63711520	-	100	173	Smp_247150	esq	53033.0		7.477208550334836	0.0	63627934.0	63658387.0	+	30453	11.073548080382745	False
head28988	SM_V7_1	63722420	63722520	-	100	482	Smp_090890	dir	47293.0		0.7154416389563085	0.0	63769813.0	63787873.0	+	18060	72.65036177055444	False
head28992	SM_V7_1	63742327	63742427	-	100	1945	Smp_090890	dir	27386.0		2.3157755406582394	0.0	63769813.0	63787873.0	+	18060	72.65036177055444	False
head29007	SM_V7_1	63815057	63815157	+	100	176	Smp_319750	esq	13898.0		0.0	2.0	63800574.0	63801159.0	-	585	1.946243703030682	False
head2901	SM_V7_3	1885787	1885887	-	100	588	Smp_159990	olap	0.0		3.840878700703065	0.0	1806759.0	1947246.0	-	140487	3.018091670672342	True
head29013	SM_V7_1	63845413	63845513	+	100	187	Smp_319750	esq	44254.0		1.762940240376768	0.0	63800574.0	63801159.0	-	585	1.946243703030682	False
head29014	SM_V7_1	63847116	63847216	-	100	1346	Smp_319760	dir	43644.0		2.502956946148203	0.0	63890860.0	63894429.0	+	3569	0.08401143260620031	False
head29022	SM_V7_ZW	63870953	63871053	-	100	883	Smp_267140	esq	13142.0		0.6423707076387833	0.0	63841926.0	63857811.0	-	15885	18.443318654753217	True
head29024	SM_V7_ZW	63875412	63875512	+	100	881	Smp_267140	esq	17601.0		0.8466865988854391	0.0	63841926.0	63857811.0	-	15885	18.443318654753217	False
head29025	SM_V7_ZW	63877430	63877530	+	100	593	Smp_267140	esq	19619.0		1.2847414152775667	0.0	63841926.0	63857811.0	-	15885	18.443318654753217	False
head29026	SM_V7_1	63878990	63879090	+	100	917	Smp_319760	dir	11770.0		0.3068098564629972	0.0	63890860.0	63894429.0	+	3569	0.08401143260620031	True
head29037	SM_V7_ZW	63941493	63941593	+	100	2922	Smp_162440	olap	0.0		0.0	0.0	63923274.0	63950621.0	-	27347	1.8932388057101597	False
head29043	SM_V7_ZW	63987178	63987278	-	100	759	Smp_162440	esq	36557.0		0.0	0.0	63923274.0	63950621.0	-	27347	1.8932388057101597	True
head29045	SM_V7_1	64002685	64002785	-	100	269	Smp_171790	olap	0.0		0.0	0.0	63910363.0	64015776.0	+	105413	7.250615572209089	False
head29047	SM_V7_1	64012645	64012745	-	100	2064	Smp_171790	olap	0.0	0.382276189518	6.555589961919064	0.0	63910363.0	64015776.0	+	105413	7.250615572209089	False
head29053	SM_V7_ZW	64029637	64029737	-	100	3186	Smp_345350	dir	9606.0		0.0	0.0	64039343.0	64053184.0	+	13841	26.246688212899734	False
head29058	SM_V7_ZW	64073256	64073356	+	100	309	Smp_341180	olap	0.0	-0.0472811751485	2.51172610362822	0.0	64059674.0	64107043.0	-	47369	10.921617927610221	False
head29066	SM_V7_1	64165960	64166060	+	100	3186	Smp_090980	olap	0.0	0.650785628588	17.69054334094837	0.0	64161239.0	64177235.0	+	15996	4.842152077283293	True
head29067	SM_V7_1	64174059	64174159	+	100	126	Smp_090980	olap	0.0		2.0093695133985845	0.0	64161239.0	64177235.0	+	15996	4.842152077283293	True
head29076	SM_V7_1	64225288	64225388	+	100	487	Smp_344080	olap	0.0	0.760732281178	46.349023072844744	0.0	64211282.0	64228962.0	+	17680	14.253358628757415	True
